name,category,sub-category,cas,unit,median,mean,std,cv,type
Ethylene glycol monoethyl ether,air,urban air close to ground,000110-80-5,kilogram,0.0003444492333735652,0.0003613936549061937,0.0001160676414744242,0.3369658870703465,emission
Trifloxystrobin,water,surface water,141517-21-7,kilogram,0.0003616380159603412,0.0003772579594296474,0.0001088782882791232,0.3010698086869917,emission
"Tin, ion",water,ocean,022537-50-4,kilogram,0.0003902623273808769,0.0003902781366618671,8.92323444836997e-06,0.02286470874156739,emission
Dimethoate,water,ground-,000060-51-5,kilogram,0.0004931397719633726,0.0005061541017730163,0.0001019643802935998,0.2067656800173341,emission
Acenaphthylene,water,ocean,000208-96-8,kilogram,0.0005578823261114923,0.0005578823261114921,2.169489360973344e-19,3.88879385388483e-16,emission
Dimethoate,air,"low population density, long-term",000060-51-5,kilogram,0.0005877569941851401,0.0005983618993838087,0.0001277554149176822,0.2173609436920456,emission
Tribenuron-methyl,water,ground-,101200-48-0,kilogram,0.0008621883913518679,0.0008720076034659507,0.0001330004233248395,0.1542591209286657,emission
Chlorosulfonic acid,air,,007790-94-5,kilogram,0.0009420037508452654,0.0009420037508452653,1.084744680486672e-19,1.151529045944163e-16,emission
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",water,,001746-01-6,kilogram,0.0008407776045095723,0.0009428450640396537,0.000474804140462194,0.5647202517235798,emission
Tribenuron-methyl,air,"low population density, long-term",101200-48-0,kilogram,0.001006048277614943,0.00101734199342455,0.0001530800509417055,0.1521597465527351,emission
Prothioconazol,water,surface water,178928-70-6,kilogram,0.00118375232448405,0.001223436572772326,0.0003481587847426518,0.2941145521250826,emission
Thiabendazole,soil,agricultural,000148-79-8,kilogram,0.002153410104522786,0.002208121005925811,0.0004273013612790715,0.1984300902004754,emission
Ethephon,water,surface water,016672-87-0,kilogram,0.003363598152705282,0.003481404548313792,0.0009528089769058887,0.2832707516323142,emission
Sulfur hexafluoride,air,non-urban air or from high stacks,002551-62-4,kilogram,0.004109593655880847,0.004207756340457182,0.0009943391573596747,0.2419555899247535,emission
